episode,score,steps,alpha,epsilon
0,-4.840000000000003,97,0.5771613671304046,0
1,-3.160000000000002,55,0.5645999865360544,0
2,-5.080000000000004,103,0.5418066750840481,0
3,-1.1200000000000019,54,0.5302268472332956,0
4,-3.080000000000002,53,0.5191021514964235,0
5,-1.4000000000000021,61,0.506586863334172,0
6,-0.40000000000000124,36,0.4993428457300169,0
7,-2.5600000000000014,40,0.49141536360591437,0
8,-0.2400000000000011,32,0.48516409013149575,0
9,0.35999999999999943,17,0.48187551040439136,0
10,0.4399999999999994,15,0.478992338835149,0
11,0.4399999999999994,15,0.4761264179418971,0
12,0.4399999999999994,15,0.4732776445098893,0
13,0.4399999999999994,15,0.4704459159419367,0
14,0.4399999999999994,15,0.4676311302547129,0
15,0.4399999999999994,15,0.46483318607508134,0
16,0.4399999999999994,15,0.4620519826364437,0
17,0.4399999999999994,15,0.4592874197751116,0
18,0.4399999999999994,15,0.4565393979266991,0
19,0.4399999999999994,15,0.4538078181225364,0
20,0.4399999999999994,15,0.45109258198610624,0
21,0.4399999999999994,15,0.44839359172950044,0
22,0.4399999999999994,15,0.44571075014989825,0
23,0.4399999999999994,15,0.44304396062606594,0
24,0.4399999999999994,15,0.44039312711487627,0
25,0.4399999999999994,15,0.4377581541478506,0
26,0.4399999999999994,15,0.43513894682771953,0
27,0.4399999999999994,15,0.43253541082500613,0
28,0.4399999999999994,15,0.42994745237462834,0
29,0.4399999999999994,15,0.42737497827252174,0
30,0.4399999999999994,15,0.42481789587228347,0
31,0.4399999999999994,15,0.42227611308183544,0
32,0.4399999999999994,15,0.4197495383601071,0
33,0.4399999999999994,15,0.41723808071373947,0
34,0.4399999999999994,15,0.4147416496938076,0
35,0.4399999999999994,15,0.4122601553925631,0
36,0.4399999999999994,15,0.40979350844019624,0
37,0.4399999999999994,15,0.4073416200016174,0
38,0.4399999999999994,15,0.4049044017732576,0
39,0.4399999999999994,15,0.40248176597988855,0
40,0.4399999999999994,15,0.400073625371461,0
41,0.4399999999999994,15,0.39767989321996267,0
42,0.4399999999999994,15,0.39530048331629497,0
43,0.4399999999999994,15,0.39293530996716836,0
44,0.4399999999999994,15,0.3905842879920154,0
45,0.4399999999999994,15,0.388247332719924,0
46,0.4399999999999994,15,0.3859243599865871,0
47,0.4399999999999994,15,0.38361528613127227,0
48,0.4399999999999994,15,0.38132002799380793,0
49,0.4399999999999994,15,0.3790385029115895,0
50,0.4399999999999994,15,0.37677062871660144,0
51,0.4399999999999994,15,0.37451632373245813,0
52,0.4399999999999994,15,0.3722755067714626,0
53,0.4399999999999994,15,0.37004809713168246,0
54,0.4399999999999994,15,0.36783401459404336,0
55,0.4399999999999994,15,0.3656331794194402,0
56,0.4399999999999994,15,0.36344551234586525,0
57,0.4399999999999994,15,0.3612709345855535,0
58,0.4399999999999994,15,0.35910936782214486,0
59,0.4399999999999994,15,0.3569607342078645,0
60,0.4399999999999994,15,0.3548249563607183,0
61,0.4399999999999994,15,0.35270195736170645,0
62,0.4399999999999994,15,0.35059166075205306,0
63,0.4399999999999994,15,0.34849399053045266,0
64,0.4399999999999994,15,0.3464088711503332,0
65,0.4399999999999994,15,0.34433622751713466,0
66,0.4399999999999994,15,0.3422759849856053,0
67,0.4399999999999994,15,0.340228069357113,0
68,0.4399999999999994,15,0.33819240687697283,0
69,0.4399999999999994,15,0.33616892423179134,0
70,0.4399999999999994,15,0.33415754854682556,0
71,0.4399999999999994,15,0.3321582073833591,0
72,0.4399999999999994,15,0.330170828736093,0
73,0.4399999999999994,15,0.32819534103055215,0
74,0.4399999999999994,15,0.32623167312050844,0
