episode,score,steps,alpha,epsilon
0,-3.240000000000002,57,0.5864720984577184,0.2294985539627905
1,-4.160000000000003,80,0.567998451390699,0.20352862096657326
2,-2.120000000000001,29,0.5614464340487921,0.19485856367366614
3,-3.7200000000000024,69,0.546159386712526,0.17568564290908967
4,-2.320000000000001,34,0.5387804338007115,0.16694392705490635
5,-4.320000000000003,84,0.5209746622656051,0.14716632287308706
6,-3.7200000000000024,69,0.5067895791658383,0.1326860342244178
7,-1.160000000000002,55,0.49575977511501673,0.12217125080935873
8,-2.240000000000003,82,0.4797594935785669,0.10802162226887738
9,-8.881784197001252e-16,26,0.47479486269032756,0.10388683004381243
10,-3.040000000000002,52,0.4650191937525823,0.09608599535406345
11,-4.360000000000004,135,0.440569354856819,0.07846020459277038
12,-0.16000000000000103,30,0.4353130720565421,0.07500522401140658
13,-4.160000000000003,80,0.42160087657788126,0.06651767318240083
14,-4.320000000000003,84,0.40766768892592786,0.058637421204954174
15,0.3199999999999994,18,0.40474244001254833,0.05707423618177646
16,0.39999999999999947,16,0.4021598449641873,0.05571975721085639
17,0.23999999999999932,20,0.3989547625719958,0.054071771669120736
18,-0.20000000000000107,31,0.3940372912997995,0.051613195118905775
19,0.35999999999999943,17,0.3913663948458998,0.05031273444825373
20,0.27999999999999936,19,0.38840269379744297,0.04889801578237054
21,0.4399999999999994,15,0.38607879150318836,0.04780928783126863
22,0.35999999999999943,17,0.38346184001681977,0.046604671485134426
23,0.35999999999999943,17,0.3808626269694243,0.04543040699336157
24,0.4399999999999994,15,0.3785838386223186,0.04441888631849932
25,0.23999999999999932,20,0.37556664928745415,0.04310513898546851
26,0.47999999999999954,14,0.37346893556227406,0.04220870410710187
27,0.3199999999999994,18,0.3707890822709502,0.04108348385095618
28,0.39999999999999947,16,0.36842313802297444,0.04010849550856251
29,0.35999999999999943,17,0.36592586156055074,0.03909791050510081
30,0.39999999999999947,16,0.36359094872535536,0.03817004355270902
31,0.39999999999999947,16,0.3612709345855535,0.037264196628247585
32,0.1999999999999993,21,0.35824836674233246,0.03610781562103698
33,0.1999999999999993,21,0.35525108716753356,0.03498731938137357
34,0.07999999999999918,24,0.351856318697413,0.033749265881474304
35,0.3199999999999994,18,0.34933154829766133,0.03284956146260559
36,0.23999999999999932,20,0.34654749014639175,0.03187799221943985
37,0.27999999999999936,19,0.3439231893034658,0.0309816308684164
38,0.27999999999999936,19,0.3413187615085637,0.03011047385479531
39,0.39999999999999947,16,0.33914086253815323,0.029395895677859826
40,0.1999999999999993,21,0.33630344561003533,0.028483683460032112
41,0.23999999999999932,20,0.33362321717486154,0.027641240835239736
42,0.15999999999999925,22,0.3306996307583114,0.026743303775363235
43,0.23999999999999932,20,0.3280640628941399,0.02595233518242299
44,0.07999999999999918,24,0.3249290927923668,0.02503399162334874
45,0.15999999999999925,22,0.3220816941908125,0.024220752124831567
46,-0.120000000000001,29,0.31836639383976045,0.02318897925867492
47,0.47999999999999954,14,0.31658817004044054,0.022706730267244818
48,0.11999999999999922,23,0.3136883385534802,0.02193613917039556
49,0.11999999999999922,23,0.31081506845904344,0.021191699378976653
50,0.11999999999999922,23,0.30796811646451977,0.02047252340443742
51,0.039999999999999036,25,0.3049031725361236,0.019718465114960684
52,-8.881784197001252e-16,26,0.30174798388731966,0.01896369255614266
53,0.23999999999999932,20,0.2993431511767773,0.018402816258132632
54,0.15999999999999925,22,0.29671996572200415,0.017804993214558983
55,-0.08000000000000096,28,0.2934145856731805,0.017072131617727977
56,0.11999999999999922,23,0.2907270157170455,0.016492760106549317
57,0.27999999999999936,19,0.2885254266878327,0.01602900841762717
58,0.11999999999999922,23,0.2858826396342573,0.01548503704735185
59,0.23999999999999932,20,0.28360424852684424,0.015027046588586808
60,-0.2400000000000011,32,0.27999653121202706,0.01432226969637881
61,0.1999999999999993,21,0.27765394444283203,0.01387782161603335
62,0.39999999999999947,16,0.27588228021593814,0.013548474807409757
63,0.35999999999999943,17,0.2740122719192821,0.013207103601969649
64,0.39999999999999947,16,0.27226384460677433,0.012893674193319195
65,0.23999999999999932,20,0.2700939908401524,0.0125123267195671
66,0.1999999999999993,21,0.26783425352611356,0.01212404471475519
67,0.27999999999999936,19,0.2658060245610269,0.011783134753250166
68,-0.08000000000000096,28,0.26284501744341265,0.011298135582125477
69,0.39999999999999947,16,0.26116784654797925,0.011030009575009868
70,-0.6400000000000015,42,0.25681601406935683,0.010356065679621952
71,0.35999999999999943,17,0.25507524232914963,0.010095131318011303
72,0.35999999999999943,17,0.25334627003323523,0.009840771532419721
73,0.15999999999999925,22,0.2511261616126493,0.009521090027909554
74,0.039999999999999036,25,0.24862691716769775,0.009170402586084798
