episode,score,steps,alpha,epsilon
0,-1.9200000000000008,24,0.7247796636776955,0
1,-2.320000000000001,34,0.7007985515957754,0
2,-0.7600000000000016,45,0.6819055369186137,0
3,-1.9200000000000008,24,0.7247796636776955,0
4,-3.0000000000000018,51,0.6735962576207389,0
5,0.27999999999999936,19,0.7411344491069477,0
6,-2.4400000000000013,37,0.6950589506240562,0
7,-2.6800000000000015,43,0.6849434743020966,0
8,-1.6000000000000023,66,0.6567385650820766,0
9,-1.7200000000000024,69,0.653868169060068,0
10,-1.240000000000002,57,0.6662806498355858,0
11,0.1999999999999993,21,0.7341042390943966,0
12,-4.200000000000003,81,0.6436038224402354,0
13,-2.4000000000000012,36,0.6969150248194834,0
14,0.1999999999999993,21,0.7341042390943966,0
15,-0.6000000000000014,41,0.6881372553930184,0
16,-0.6000000000000014,41,0.6881372553930184,0
17,-0.8800000000000017,48,0.677610913400481,0
18,-1.360000000000002,60,0.6629289980793758,0
19,-8.881784197001252e-16,26,0.7192230933248643,0
20,-0.2400000000000011,32,0.7049342406834318,0
21,-0.20000000000000107,31,0.7071067811865475,0
22,0.07999999999999918,24,0.7247796636776955,0
23,-0.5200000000000014,39,0.6915028921812392,0
24,-0.08000000000000096,28,0.7141019190952173,0
25,0.4399999999999994,15,0.757858283255199,0
26,-0.6400000000000015,42,0.6865199377630813,0
27,0.11999999999999922,23,0.7277444060413011,0
28,-0.6400000000000015,42,0.6865199377630813,0
29,0.35999999999999943,17,0.7489843608000769,0
30,0.35999999999999943,17,0.7489843608000769,0
31,-0.20000000000000107,31,0.7071067811865475,0
32,0.23999999999999932,20,0.7375272489127968,0
33,0.39999999999999947,16,0.7532776949250389,0
34,0.47999999999999954,14,0.7627652057826759,0
35,0.39999999999999947,16,0.7532776949250389,0
36,0.5999999999999996,11,0.7799771419043033,0
37,-0.20000000000000107,31,0.7071067811865475,0
38,0.4399999999999994,15,0.757858283255199,0
39,0.5599999999999996,12,0.7737589130611018,0
40,0.4399999999999994,15,0.757858283255199,0
41,0.5999999999999996,11,0.7799771419043033,0
42,0.5999999999999996,11,0.7799771419043033,0
43,0.5999999999999996,11,0.7799771419043033,0
44,0.5999999999999996,11,0.7799771419043033,0
45,0.5999999999999996,11,0.7799771419043033,0
46,0.5999999999999996,11,0.7799771419043033,0
47,0.5999999999999996,11,0.7799771419043033,0
48,0.5999999999999996,11,0.7799771419043033,0
49,0.5999999999999996,11,0.7799771419043033,0
50,0.5999999999999996,11,0.7799771419043033,0
51,0.5999999999999996,11,0.7799771419043033,0
52,0.5999999999999996,11,0.7799771419043033,0
53,0.5999999999999996,11,0.7799771419043033,0
54,0.5999999999999996,11,0.7799771419043033,0
55,0.5999999999999996,11,0.7799771419043033,0
56,0.5999999999999996,11,0.7799771419043033,0
57,0.5999999999999996,11,0.7799771419043033,0
58,0.5999999999999996,11,0.7799771419043033,0
59,0.5999999999999996,11,0.7799771419043033,0
60,0.5999999999999996,11,0.7799771419043033,0
61,0.5999999999999996,11,0.7799771419043033,0
62,0.5999999999999996,11,0.7799771419043033,0
63,0.5999999999999996,11,0.7799771419043033,0
64,0.5999999999999996,11,0.7799771419043033,0
65,0.5999999999999996,11,0.7799771419043033,0
66,0.5999999999999996,11,0.7799771419043033,0
67,0.5999999999999996,11,0.7799771419043033,0
68,0.5999999999999996,11,0.7799771419043033,0
69,0.5999999999999996,11,0.7799771419043033,0
70,0.5999999999999996,11,0.7799771419043033,0
71,0.5999999999999996,11,0.7799771419043033,0
72,0.5999999999999996,11,0.7799771419043033,0
73,0.5999999999999996,11,0.7799771419043033,0
74,0.5999999999999996,11,0.7799771419043033,0
